snapshot_date,total,Novice,Technician,Technician Plus,General,Advanced,Amateur Extra
2026-06-22,743776,4229,360061,0,184342,26218,157762
2026-06-29,743815,4222,360106,0,184368,26163,157787
2026-07-06,744170,4215,360395,0,184454,26134,157797
2026-07-13,744056,4207,360386,0,184404,26120,157781
2026-07-20,721098,4125,348730,0,178495,25504,153381
2026-08-03,742623,4174,359319,0,184343,25960,157677
2026-08-10,742341,4160,359221,0,184307,25876,157632
2026-08-17,742290,4153,359148,0,184339,25843,157666
2026-08-24,741882,4141,358897,0,184291,25794,157630
2026-08-31,741533,4128,358674,0,184220,25749,157628
